id,empresa,nombre,descripcion,ubicacion,duracion,precio_persona,capacidad,restricciones,fecha_panorama
84319,Singapore Airlines,,,,,,31,{},
84321,Contiki,Paseo,Relájate en la playa,Vigo,3,,21,{},2025-09-06 00:00:00
84323,GetYourGuide,Tour,Conoce la historia de la ciudad,Vigo,4,69000,30,{},2025-09-08 00:00:00
84340,Alaska Airlines,,,,,,85,{},
84344,,Excursión,Disfruta de un día en la naturaleza,Linares,3,92000,35,{},2025-08-24 00:00:00
84346,,Visita,Descubre la gastronomía local,Linares,1,6000,39,{},
84348,Ethiopian Airlines,,,,,,95,{},
84370,Luxury Escapes,,Relájate en la playa,Vitoria,,,21,{},2025-03-20 00:00:00
84372,ZS (Eslovenia),,,,,,41,{},
84375,Luxury Escapes,Excursión,Descubre la gastronomía local,Jaén,4,96000,25,{},2026-10-04 00:00:00
84377,Globus,Visita,Disfruta de un día en la naturaleza,Jaén,2,60000,9,{},2026-10-06 00:00:00
84397,ÖBB (Austria),,,,,,89,{},
84399,Tripadvisor,Aventura,Aventúrate en la montaña,El Puerto de Santa María,2,67000,30,{},2025-08-10 00:00:00
84400,Secret Escapes,Paseo,Disfruta de un día en la naturaleza,El Puerto de Santa María,6,74000,39,{},2025-08-11 00:00:00
84402,ZS (Eslovenia),,,,,,81,{},
84410,Secret Escapes,,Conoce la historia de la ciudad,Cartagena,6,100000,,{},
84411,Secret Escapes,Visita,Disfruta de un día en la naturaleza,Cartagena,6,16000,43,{},2025-03-08 00:00:00
84412,TUI Group,Visita,Descubre la gastronomía local,Cartagena,4,44000,28,{},2025-03-09 00:00:00
84418,Luxury Escapes,Aventura,Relájate en la playa,Sevilla,6,32000,32,{},2026-06-30 00:00:00
84435,Ethiopian Airlines,,,,,,33,{},
84437,Hays Travel,Aventura,Aventúrate en la montaña,Valdemoro,6,98000,21,,2025-05-21 00:00:00
84438,Travel Leaders Group,,Conoce la historia de la ciudad,Valdemoro,1,85000,1,,2025-05-22 00:00:00
84440,National Geographic Expeditions,,,Valdemoro,7,54000,18,,2025-05-24 00:00:00
84448,Gray Line,Tour,Descubre la gastronomía local,Telde,7,55000,39,{},2025-06-01 00:00:00
84449,KLM,,,,,,26,{},
84456,Abercrombie & Kent,Paseo,Relájate en la playa,Rubí,3,74000,22,{},2026-03-10 00:00:00
84460,,,,,,,24,{},
84462,GetYourGuide,Visita,Disfruta de un día en la naturaleza,Torrelavega,1,34000,12,,2026-09-23 00:00:00
84464,Gray Line,Visita,Descubre la gastronomía local,Torrelavega,7,20000,50,{},2026-09-25 00:00:00
84465,Civitatis,Tour,Relájate en la playa,Torrelavega,4,9000,19,{},2026-09-26 00:00:00
84466,,Aventura,Conoce la historia de la ciudad,Torrelavega,4,94000,10,{},2026-09-27 00:00:00
84470,CWT,Paseo,Disfruta de un día en la naturaleza,Viladecans,1,71000,21,{},2026-10-03 00:00:00
84477,Travel Leaders Group,Paseo,Disfruta de un día en la naturaleza,Santa Coloma de Gramanet,3,-15000,40,{},
84480,Kuoni,,,Roquetas de Mar,6,43000,3,{},2025-12-08 00:00:00
84482,Abercrombie & Kent,Excursión,,Roquetas de Mar,1,43000,35,{},2025-12-10 00:00:00
84484,VR (Finlandia),,,,,,91,{},
84490,Singapore Airlines,,,,,,12,{},
84491,Avianca,,,,,,32,{},
84496,Trafalgar,Visita,Conoce la historia de la ciudad,Roquetas de Mar,3,55000,3,{},2025-10-01 00:00:00
84512,Viator,Paseo,Disfruta de un día en la naturaleza,,2,93000,,{},2025-07-27 00:00:00
84525,Travel Leaders Group,Tour,,Elda,1,52000,12,{},2026-11-27 00:00:00
84531,,,,,,,92,{},
84532,JetBlue,,,,,,27,{},
84535,Hays Travel,,Relájate en la playa,Calahorra,1,50000,16,{},2026-10-04 00:00:00
84536,Flight Centre Travel Group,Visita,Disfruta de un día en la naturaleza,Calahorra,3,87000,4,{},2026-10-05 00:00:00
84537,Klook,Aventura,Relájate en la playa,Calahorra,6,7000,14,{},2026-10-06 00:00:00
84538,National Geographic Expeditions,Paseo,Conoce la historia de la ciudad,Calahorra,,-46000,37,{},2026-10-07 00:00:00
84539,Contiki,Tour,Descubre la gastronomía local,Calahorra,4,45000,36,{},2026-10-08 00:00:00
84544,Travel Leaders Group,Visita,Disfruta de un día en la naturaleza,Valencia,2,23000,46,{},2026-10-30 00:00:00
84545,Booking Holdings,Excursión,Disfruta de un día en la naturaleza,Valencia,6,22000,15,{},2026-10-31 00:00:00
84548,GetYourGuide,Tour,Descubre la gastronomía local,Ceuta,6,41000,40,{},
84549,,Aventura,Relájate en la playa,Ceuta,5,,16,{},2026-11-03 00:00:00
84553,Kuoni,Aventura,Relájate en la playa,Valladolid,6,81000,44,{},2026-07-05 00:00:00
84555,Renfe,,,,,,40,{},
84557,American Express Global Business Travel,,Conoce la historia de la ciudad,Cornellá de Llobregat,6,66000,12,{},2026-07-08 00:00:00
84562,Flight Centre Travel Group,Excursión,Disfruta de un día en la naturaleza,Segovia,1,16000,5,{},2025-03-03 00:00:00
84563,Viator,Excursión,Descubre la gastronomía local,Segovia,6,,9,,2025-03-04 00:00:00
84564,Civitatis,Tour,Relájate en la playa,Segovia,6,56000,38,{},2025-03-05 00:00:00
84565,GetYourGuide,Tour,Conoce la historia de la ciudad,Segovia,,5000,,{},2025-03-06 00:00:00
84566,EF Tours,Visita,Aventúrate en la montaña,Segovia,6,25000,21,{},2025-03-07 00:00:00
84567,Booking Holdings,Visita,Disfruta de un día en la naturaleza,Segovia,5,65000,30,{},2025-03-08 00:00:00
84572,,Excursión,Conoce la historia de la ciudad,Cáceres,2,36000,40,{},
84573,Qatar Airways,,,,,,28,{},
84574,KLM,,,,,,9,{},
84578,American Express Global Business Travel,Aventura,Aventúrate en la montaña,Santander,4,94000,11,{},2026-07-29 00:00:00
84580,Gray Line,Tour,Conoce la historia de la ciudad,Santander,7,19000,46,{},2026-07-31 00:00:00
84581,Contiki,Excursión,Descubre la gastronomía local,Santander,6,46000,,{},2026-08-01 00:00:00
84582,G Adventures,,Descubre la gastronomía local,Santander,5,80000,43,{},2026-08-02 00:00:00
84583,Civitatis,Visita,Relájate en la playa,Santander,3,46000,8,{},2026-08-03 00:00:00
84586,Thomas Cook,Paseo,Descubre la gastronomía local,Irún,7,,19,{},2026-08-06 00:00:00
84587,Civitatis,Visita,Disfruta de un día en la naturaleza,Irún,3,7000,18,,2026-08-07 00:00:00
84588,American Express Global Business Travel,Tour,Conoce la historia de la ciudad,Irún,5,,32,{},2026-08-08 00:00:00
84589,Apple Leisure Group,Paseo,Conoce la historia de la ciudad,Irún,3,32000,47,{},2026-08-09 00:00:00
84590,Civitatis,Visita,Aventúrate en la montaña,Irún,1,52000,38,{},2026-08-10 00:00:00
84591,Abercrombie & Kent,,Relájate en la playa,Irún,5,64000,15,{},2026-08-11 00:00:00
84594,Klook,Aventura,Conoce la historia de la ciudad,Valdemoro,1,49000,22,{},2026-08-14 00:00:00
84595,Civitatis,Tour,,Valdemoro,2,-82000,24,{},2026-08-15 00:00:00
84596,Thomas Cook,Aventura,Disfruta de un día en la naturaleza,Valdemoro,1,90000,32,{},2026-08-16 00:00:00
84597,,Excursión,,Valdemoro,4,27000,34,{},2026-08-17 00:00:00
84598,Ethiopian Airlines,,,,,,42,{},
84618,Kuoni,,Aventúrate en la montaña,,4,6000,2,{},2026-06-08 00:00:00
84623,TUI Group,Excursión,Relájate en la playa,Jaén,4,99000,4,{},
84626,Deutsche Bahn (DB),,,,,,68,{},
84630,Viator,Tour,Conoce la historia de la ciudad,Talavera de la Reina,1,31000,20,{},2026-05-06 00:00:00
84632,,,Descubre la gastronomía local,Talavera de la Reina,,10000,15,{},2026-05-08 00:00:00
84636,Expedia Group,Aventura,Conoce la historia de la ciudad,Jaén,7,38000,23,{},2026-09-04 00:00:00
84638,,Visita,Relájate en la playa,Jaén,1,49000,35,{},
84649,Exodus Travels,Paseo,Descubre la gastronomía local,Pamplona,6,43000,19,{},2026-09-19 00:00:00
84657,TUI Group,Tour,Disfruta de un día en la naturaleza,Toledo,5,,16,{},2026-03-20 00:00:00
84661,Southwest Airlines,,,,,,54,{},
84676,Aeroméxico,,,,,,64,{},
84678,Klook,Paseo,Conoce la historia de la ciudad,Benidorm,,39000,10,{},2026-03-03 00:00:00
84679,,Visita,Relájate en la playa,Benidorm,1,39000,,{},2026-03-04 00:00:00
84680,,,,,,,78,{},
84681,Iberia,,,,,,59,{},
84684,,Paseo,Descubre la gastronomía local,Tarrasa,2,-76000,2,{},2025-09-25 00:00:00
84685,Gray Line,,Aventúrate en la montaña,Tarrasa,1,14000,8,{},2025-09-26 00:00:00
84686,Flight Centre Travel Group,Paseo,Disfruta de un día en la naturaleza,Tarrasa,7,60000,22,{},2025-09-27 00:00:00
84691,Insight Vacations,Excursión,Descubre la gastronomía local,Reus,2,10000,9,{},2025-06-23 00:00:00
84725,Travel Leaders Group,Excursión,Descubre la gastronomía local,Getafe,2,59000,38,{},2026-04-03 00:00:00
84704,Gray Line,Visita,Conoce la historia de la ciudad,Lugo,5,10000,4,{},2026-07-15 00:00:00
84706,ZS (Eslovenia),,,,,,47,{},
84716,TUI Group,Tour,,Roquetas de Mar,6,60000,22,{},2025-03-21 00:00:00
84723,CFR (Rumania),,,,,,66,{},
84727,GetYourGuide,Paseo,Disfruta de un día en la naturaleza,Getafe,6,59000,,{},2026-04-05 00:00:00
84729,Civitatis,Paseo,Conoce la historia de la ciudad,Getafe,1,13000,45,{},2026-04-07 00:00:00
84730,National Geographic Expeditions,Paseo,Relájate en la playa,Getafe,6,26000,37,{},2026-04-08 00:00:00
84740,Intrepid Travel,Aventura,Aventúrate en la montaña,Vitoria,6,22000,22,{},2026-03-21 00:00:00
84743,Insight Vacations,Aventura,Disfruta de un día en la naturaleza,Vitoria,3,66000,43,{},2026-03-24 00:00:00
84748,Vueling,,,,,,36,{},
84753,Abercrombie & Kent,,Relájate en la playa,Santa Coloma de Gramanet,5,,3,{},2026-12-01 00:00:00
84754,,Tour,Disfruta de un día en la naturaleza,Santa Coloma de Gramanet,2,44000,21,{},2026-12-02 00:00:00
84760,American Airlines,,,,,,76,{},
84761,EasyJet,,,,,,6,{},
84764,Abercrombie & Kent,,Aventúrate en la montaña,La Coruña,4,14000,25,{},2026-02-21 00:00:00
84766,American Express Global Business Travel,Excursión,Descubre la gastronomía local,La Coruña,5,17000,49,{},2026-02-23 00:00:00
84767,Booking Holdings,Visita,Descubre la gastronomía local,La Coruña,6,31000,44,{},2026-02-24 00:00:00
84771,EF Tours,Aventura,Disfruta de un día en la naturaleza,Alcorcón,5,58000,32,{},2026-02-28 00:00:00
84772,Intrepid Travel,Aventura,Descubre la gastronomía local,Alcorcón,1,49000,5,{},2026-03-01 00:00:00
84773,,Visita,Aventúrate en la montaña,Alcorcón,1,11000,18,{},
84779,Tripadvisor,,Disfruta de un día en la naturaleza,San Cristróbal de la Laguna,5,91000,22,{},2025-08-14 00:00:00
84781,LATAM Airlines,,,,,,81,{},
84782,Singapore Airlines,,,,,,20,{},
84789,CWT,Tour,Aventúrate en la montaña,Paterna,6,83000,2,{},2026-09-12 00:00:00
84790,CWT,Paseo,,Paterna,4,85000,45,{},2026-09-13 00:00:00
84791,Trafalgar,Visita,Relájate en la playa,Paterna,,-96000,4,,2026-09-14 00:00:00
84795,BCD Travel,,Aventúrate en la montaña,Leganés,1,26000,35,{},2026-09-07 00:00:00
84796,National Geographic Expeditions,Tour,Conoce la historia de la ciudad,Leganés,5,92000,17,{},2026-09-08 00:00:00
84797,Luxury Escapes,Visita,Relájate en la playa,Leganés,5,87000,37,{},2026-09-09 00:00:00
84798,Abercrombie & Kent,Aventura,Conoce la historia de la ciudad,Leganés,5,40000,38,{},2026-09-10 00:00:00
84799,Hays Travel,Aventura,Relájate en la playa,Leganés,4,-56000,45,{},2026-09-11 00:00:00
84800,Globus,Tour,Relájate en la playa,Leganés,3,35000,48,{},2026-09-12 00:00:00
84801,All Nippon Airways (ANA),,,,,,,{},
84809,Delta Air Lines,,,,,,,{},
84812,,Aventura,Conoce la historia de la ciudad,Arrecife,3,75000,36,{},2026-10-17 00:00:00
84816,Travel Leaders Group,Paseo,Relájate en la playa,Fuengirola,6,-64000,34,{},2025-06-09 00:00:00
84818,ZFBH (Bosnia y Herzegovina),,,,,,41,{},
84822,American Express Global Business Travel,Visita,Descubre la gastronomía local,Alicante,2,31000,46,{},
84823,Booking Holdings,Tour,Relájate en la playa,Alicante,6,,26,{},2025-07-13 00:00:00
84824,Klook,,Aventúrate en la montaña,Alicante,5,16000,22,{},2025-07-14 00:00:00
84832,National Geographic Expeditions,Visita,Aventúrate en la montaña,El Prat de LLobregat,6,53000,1,{},2026-01-15 00:00:00
84851,National Geographic Expeditions,Visita,Conoce la historia de la ciudad,Valencia,7,52000,6,{},
84862,Insight Vacations,Paseo,Descubre la gastronomía local,Murcia,6,46000,19,{},
84873,National Geographic Expeditions,,Conoce la historia de la ciudad,Ciudad Real,2,38000,4,{},2026-07-30 00:00:00
84904,American Airlines,,,,,,26,{},
88694,Turkish Airlines,,,,,,86,{},
84881,Abercrombie & Kent,Excursión,Relájate en la playa,Vigo,1,75000,34,{},2025-08-21 00:00:00
84882,Abercrombie & Kent,Aventura,Conoce la historia de la ciudad,,1,19000,35,{},2025-08-22 00:00:00
84887,Apple Leisure Group,Tour,Conoce la historia de la ciudad,Rivas-Vaciamadrid,1,70000,41,{},2025-11-06 00:00:00
84890,,Paseo,Conoce la historia de la ciudad,Rivas-Vaciamadrid,6,5000,22,{},2025-11-09 00:00:00
84891,Tripadvisor,Visita,,Rivas-Vaciamadrid,2,66000,44,{},2025-11-10 00:00:00
84892,National Geographic Expeditions,Aventura,Aventúrate en la montaña,Rivas-Vaciamadrid,1,,40,{},2025-11-11 00:00:00
84896,G Adventures,Aventura,Relájate en la playa,Gerona,6,75000,37,{},2026-02-13 00:00:00
84911,Kuoni,Aventura,Disfruta de un día en la naturaleza,Torrevieja,6,33000,19,{},2026-10-31 00:00:00
84912,Luxury Escapes,Visita,Relájate en la playa,Torrevieja,4,12000,2,{},2026-11-01 00:00:00
84913,Insight Vacations,Visita,Disfruta de un día en la naturaleza,Torrevieja,4,-39000,3,{},2026-11-02 00:00:00
84914,Contiki,Aventura,Relájate en la playa,Torrevieja,5,93000,25,{},2026-11-03 00:00:00
84915,EF Tours,Aventura,Disfruta de un día en la naturaleza,Torrevieja,1,96000,5,{},2026-11-04 00:00:00
84938,,Excursión,Aventúrate en la montaña,Alcorcón,5,66000,22,{},2025-06-08 00:00:00
84939,Booking Holdings,Excursión,Descubre la gastronomía local,Alcorcón,6,69000,32,{},2025-06-09 00:00:00
84941,Expedia Group,Excursión,Aventúrate en la montaña,Alcorcón,2,,10,{},2025-06-11 00:00:00
84948,Intrepid Travel,Excursión,Conoce la historia de la ciudad,San Sebastían de los Reyes,2,84000,15,{},2025-01-09 00:00:00
84949,Thomas Cook,Visita,Conoce la historia de la ciudad,San Sebastían de los Reyes,1,39000,44,{},2025-01-10 00:00:00
84950,CWT,Tour,Descubre la gastronomía local,San Sebastían de los Reyes,3,77000,4,{},2025-01-11 00:00:00
84951,Booking Holdings,Visita,Relájate en la playa,San Sebastían de los Reyes,1,50000,24,{},2025-01-12 00:00:00
84952,Gray Line,Paseo,Conoce la historia de la ciudad,San Sebastían de los Reyes,1,69000,29,{},2025-01-13 00:00:00
84953,Booking Holdings,Aventura,Descubre la gastronomía local,San Sebastían de los Reyes,1,68000,28,{},2025-01-14 00:00:00
84956,Delta Air Lines,,,,,,23,{},
84957,Spirit Airlines,,,,,,25,,
84961,British Airways,,,,,,33,{},
84967,Frontier Airlines,,,,,,85,{},
84973,Luxury Escapes,Visita,Disfruta de un día en la naturaleza,Fuenlabrada,3,70000,31,{},
84981,BCD Travel,Excursión,Disfruta de un día en la naturaleza,Las Palmas de Gran Canaria,6,42000,37,{},2026-11-28 00:00:00
84982,Kuoni,Visita,Relájate en la playa,Las Palmas de Gran Canaria,1,13000,9,{},2026-11-29 00:00:00
84983,Contiki,Tour,Disfruta de un día en la naturaleza,Las Palmas de Gran Canaria,3,6000,39,{},2026-11-30 00:00:00
84984,Abercrombie & Kent,,Aventúrate en la montaña,Las Palmas de Gran Canaria,3,,,{},2026-12-01 00:00:00
84991,TUI Group,Excursión,Disfruta de un día en la naturaleza,Rivas-Vaciamadrid,4,39000,2,,2025-05-16 00:00:00
84992,Secret Escapes,Aventura,Disfruta de un día en la naturaleza,Rivas-Vaciamadrid,3,32000,27,{},2025-05-17 00:00:00
84995,Kuoni,Visita,,Palencia,7,11000,7,{},2025-05-20 00:00:00
84996,Klook,Visita,Descubre la gastronomía local,Palencia,6,84000,18,{},2025-05-21 00:00:00
84997,Tripadvisor,Excursión,Disfruta de un día en la naturaleza,Palencia,7,27000,39,{},2025-05-22 00:00:00
85002,Aeroméxico,,,,,,,{},
85006,ZSSK (Eslovaquia),,,,,,77,{},
85007,Thalys,,,,,,46,{},
85011,ŽSSK (Eslovaquia),,,,,,59,{},
85020,Emirates,,,,,,27,{},
85021,Spirit Airlines,,,,,,94,{},
85022,Aeroméxico,,,,,,83,{},
85023,Vueling,,,,,,21,{},
85025,ZFBH (Bosnia y Herzegovina),,,,,,16,{},
85029,Thalys,,,,,,98,,
85041,Kuoni,Paseo,Conoce la historia de la ciudad,El Puerto de Santa María,7,15000,36,{},
85042,Viator,Aventura,Descubre la gastronomía local,El Puerto de Santa María,2,23000,32,{},2025-09-04 00:00:00
85046,Secret Escapes,,Relájate en la playa,,5,91000,3,{},2026-06-30 00:00:00
85047,Trafalgar,Visita,Descubre la gastronomía local,Torrejón de Ardoz,7,75000,49,{},2026-07-01 00:00:00
85053,Intrepid Travel,,Disfruta de un día en la naturaleza,Sevilla,3,90000,20,{},2026-01-03 00:00:00
85057,Travel Leaders Group,,Descubre la gastronomía local,Roquetas de Mar,1,-63000,34,{},2026-01-08 00:00:00
85058,Trafalgar,Excursión,Descubre la gastronomía local,Roquetas de Mar,1,29000,4,{},2026-01-09 00:00:00
85060,EasyJet,,,,,,25,{},
85062,Secret Escapes,Visita,Conoce la historia de la ciudad,Almería,4,46000,10,{},
85063,G Adventures,Visita,Aventúrate en la montaña,Almería,4,15000,27,{},2026-01-14 00:00:00
85064,Klook,Aventura,Relájate en la playa,Almería,7,22000,40,{},2026-01-15 00:00:00
85065,Flight Centre Travel Group,Tour,Aventúrate en la montaña,Almería,1,68000,42,{},2026-01-16 00:00:00
85069,Flight Centre Travel Group,,Disfruta de un día en la naturaleza,Huelva,5,88000,31,{},2025-07-10 00:00:00
85070,National Geographic Expeditions,Paseo,Aventúrate en la montaña,Huelva,7,94000,6,{},2025-07-11 00:00:00
85071,Thomas Cook,Aventura,Descubre la gastronomía local,,5,12000,6,,2025-07-12 00:00:00
85072,CWT,Paseo,Descubre la gastronomía local,Huelva,6,17000,6,{},2025-07-13 00:00:00
85078,Thomas Cook,,Conoce la historia de la ciudad,Mollet del Vallés,6,66000,27,{},2026-01-28 00:00:00
85086,Luxury Escapes,Aventura,Relájate en la playa,Málaga,3,27000,4,{},2025-09-16 00:00:00
85087,,Tour,Relájate en la playa,,1,53000,27,{},2025-09-17 00:00:00
85089,American Express Global Business Travel,Excursión,Conoce la historia de la ciudad,Málaga,5,9000,9,{},2025-09-19 00:00:00
85090,Intrepid Travel,,,Málaga,3,67000,15,{},
85091,Trenitalia,,,,,,70,{},
85104,GetYourGuide,Paseo,Relájate en la playa,Vigo,3,8000,25,{},2025-08-12 00:00:00
85108,ÖBB (Austria),,,,,,40,{},
85110,Expedia Group,Paseo,Descubre la gastronomía local,Benidorm,3,,32,{},2025-07-11 00:00:00
85112,Contiki,Excursión,Relájate en la playa,Benidorm,1,39000,47,{},2025-07-13 00:00:00
85115,Apple Leisure Group,Aventura,Conoce la historia de la ciudad,Benidorm,3,33000,22,{},2025-07-16 00:00:00
85116,CFR (Rumania),,,,,,90,{},
85128,Luxury Escapes,Paseo,Descubre la gastronomía local,Cartagena,2,,49,{},2025-01-06 00:00:00
85145,Intrepid Travel,Aventura,,Elche,4,44000,37,{},2025-11-22 00:00:00
85146,Thomas Cook,Excursión,Relájate en la playa,Elche,1,17000,3,{},2025-11-23 00:00:00
85147,Tripadvisor,Visita,Aventúrate en la montaña,Elche,7,56000,11,{},2025-11-24 00:00:00
85148,Trafalgar,Tour,Aventúrate en la montaña,Elche,6,,11,{},2025-11-25 00:00:00
85152,Thomas Cook,Tour,Relájate en la playa,El Prat de LLobregat,,23000,40,,2025-06-09 00:00:00
85153,Abercrombie & Kent,Tour,Relájate en la playa,El Prat de LLobregat,5,55000,48,{},
85154,,Aventura,,El Prat de LLobregat,6,60000,44,{},2025-06-11 00:00:00
85157,Thomas Cook,Paseo,Relájate en la playa,Elda,3,17000,35,{},2025-06-13 00:00:00
85160,EF Tours,Visita,Aventúrate en la montaña,Rubí,6,47000,13,{},2026-03-04 00:00:00
85161,,Visita,Disfruta de un día en la naturaleza,Rubí,,93000,36,{},2026-03-05 00:00:00
85163,TUI Group,,,Rubí,4,18000,36,{},2026-03-07 00:00:00
85164,G Adventures,Aventura,Aventúrate en la montaña,Rubí,6,17000,17,{},2026-03-08 00:00:00
85170,Flight Centre Travel Group,Visita,Conoce la historia de la ciudad,,4,68000,31,{},2025-02-03 00:00:00
85171,G Adventures,Aventura,Relájate en la playa,La Coruña,7,12000,1,{},2025-02-04 00:00:00
85177,DSB (Dinamarca),,,,,,90,{},
85184,Vueling,,,,,,41,{},
85187,Booking Holdings,Paseo,Descubre la gastronomía local,Málaga,4,-68000,4,{},2026-11-20 00:00:00
85188,Expedia Group,Paseo,Descubre la gastronomía local,Málaga,5,79000,38,{},2026-11-21 00:00:00
85189,G Adventures,Aventura,Relájate en la playa,Málaga,4,6000,16,{},2026-11-22 00:00:00
85196,Apple Leisure Group,Excursión,Conoce la historia de la ciudad,Gecho,2,,18,,2025-03-14 00:00:00
85206,CWT,Aventura,,Gandía,1,21000,38,{},2025-06-27 00:00:00
85207,Intrepid Travel,Excursión,Relájate en la playa,Gandía,3,32000,4,{},2025-06-28 00:00:00
85210,Hays Travel,Paseo,Descubre la gastronomía local,Santa Coloma de Gramanet,2,11000,22,{},2025-07-23 00:00:00
85219,Intrepid Travel,Excursión,Disfruta de un día en la naturaleza,Collado Villalba,1,11000,47,{},2025-04-17 00:00:00
85227,Gray Line,Aventura,Descubre la gastronomía local,Molina de Segura,2,47000,34,{},2025-11-12 00:00:00
85231,GetYourGuide,Excursión,Conoce la historia de la ciudad,Manresa,,8000,18,,2025-10-13 00:00:00
85234,Civitatis,Aventura,,Castellón de la Plana,2,93000,45,{},2025-10-17 00:00:00
85235,American Express Global Business Travel,Aventura,Relájate en la playa,Castellón de la Plana,1,55000,22,{},2025-10-18 00:00:00
85236,Booking Holdings,Excursión,Relájate en la playa,Castellón de la Plana,3,82000,,{},2025-10-19 00:00:00
85241,Abercrombie & Kent,Excursión,Relájate en la playa,Ciudad Real,7,81000,41,{},2026-07-06 00:00:00
85248,Flight Centre Travel Group,Paseo,Disfruta de un día en la naturaleza,Cáceres,5,83000,50,{},2026-07-14 00:00:00
85262,Air Canada,,,,,,43,{},
85268,Air France,,,,,,20,{},
85270,Civitatis,Visita,Disfruta de un día en la naturaleza,Sabadell,6,95000,2,{},2026-09-18 00:00:00
85271,Contiki,Tour,Aventúrate en la montaña,Sabadell,2,61000,16,{},2026-09-19 00:00:00
85272,,Excursión,Conoce la historia de la ciudad,Sabadell,5,75000,23,{},2026-09-20 00:00:00
85273,Insight Vacations,Paseo,Descubre la gastronomía local,Sabadell,2,74000,41,{},2026-09-21 00:00:00
85274,CWT,Paseo,Conoce la historia de la ciudad,Sabadell,7,89000,,{},2026-09-22 00:00:00
85275,Alaska Airlines,,,,,,44,{},
85276,Emirates,,,,,,78,{},
85308,G Adventures,Paseo,Conoce la historia de la ciudad,Cuenta,2,-64000,30,{},2025-11-03 00:00:00
85286,Booking Holdings,Paseo,Descubre la gastronomía local,Palencia,6,,36,{},2026-11-11 00:00:00
85287,Apple Leisure Group,Aventura,Descubre la gastronomía local,Palencia,3,,15,{},2026-11-12 00:00:00
85290,Booking Holdings,,Conoce la historia de la ciudad,Sanlúcar de Barrameda,2,51000,7,{},
85299,Secret Escapes,Excursión,,Parla,1,34000,49,{},2025-12-11 00:00:00
85300,BCD Travel,Excursión,Relájate en la playa,Parla,4,34000,3,{},2025-12-12 00:00:00
85301,,Paseo,Descubre la gastronomía local,Parla,6,15000,4,{},2025-12-13 00:00:00
85306,Renfe,,,,,,92,{},
85316,KLM,,,,,,41,{},
85320,Globus,Aventura,Relájate en la playa,San Sebastián,5,13000,22,{},2025-05-04 00:00:00
85321,Trafalgar,Excursión,Descubre la gastronomía local,San Sebastián,2,44000,49,{},2025-05-05 00:00:00
85326,,Tour,Descubre la gastronomía local,Fuengirola,2,37000,21,{},2025-08-07 00:00:00
85327,Hays Travel,Excursión,Conoce la historia de la ciudad,Fuengirola,4,22000,8,{},
85351,,,,,,,74,{},
85358,Eurostar,,,,,,57,{},
85363,Lufthansa,,,,,,60,{},
85364,Singapore Airlines,,,,,,8,{},
85369,CWT,Paseo,Descubre la gastronomía local,,6,72000,17,{},2025-07-27 00:00:00
85373,KLM,,,,,,66,,
85376,Kuoni,Aventura,Descubre la gastronomía local,León,2,,19,{},2026-02-27 00:00:00
85379,CD (República Checa),,,,,,33,{},
85384,,,,,,,81,{},
85387,G Adventures,Tour,Conoce la historia de la ciudad,Córdoba,2,38000,21,{},2025-11-06 00:00:00
85398,,,Disfruta de un día en la naturaleza,Santa Coloma de Gramanet,5,50000,32,{},2026-07-19 00:00:00
85401,BCD Travel,,,Santa Coloma de Gramanet,5,94000,40,{},2026-07-22 00:00:00
85408,Kuoni,Tour,Conoce la historia de la ciudad,Tarragona,7,94000,2,{},2025-11-20 00:00:00
85414,G Adventures,Paseo,Disfruta de un día en la naturaleza,Córdoba,5,,27,{},2025-07-08 00:00:00
85427,American Express Global Business Travel,Paseo,Conoce la historia de la ciudad,,4,74000,25,{},2026-01-27 00:00:00
85428,Hays Travel,Paseo,,Santiago de Compostela,2,99000,19,{},2026-01-28 00:00:00
85432,Globus,Paseo,Disfruta de un día en la naturaleza,Córdoba,2,30000,12,{},2025-07-17 00:00:00
85443,Contiki,,Aventúrate en la montaña,,1,80000,42,{},2026-02-23 00:00:00
85446,GetYourGuide,Aventura,Disfruta de un día en la naturaleza,Fuengirola,2,29000,36,{},2026-11-01 00:00:00
85449,Apple Leisure Group,Excursión,Aventúrate en la montaña,Fuengirola,2,59000,17,{},2026-11-04 00:00:00
85458,Globus,Visita,Disfruta de un día en la naturaleza,Lorca,6,22000,18,{},
85462,Thomas Cook,Excursión,Conoce la historia de la ciudad,Ferrol,7,59000,45,,2025-12-05 00:00:00
85466,,Excursión,Relájate en la playa,Vitoria,4,85000,48,{},
85470,EF Tours,Visita,Descubre la gastronomía local,Lérida,2,45000,44,{},2025-10-11 00:00:00
85472,Delta Air Lines,,,,,,65,{},
85474,Abercrombie & Kent,Excursión,Conoce la historia de la ciudad,Valladolid,,97000,38,{},2025-08-14 00:00:00
85476,Southwest Airlines,,,,,,,,
85477,Spirit Airlines,,,,,,54,{},
85479,Abercrombie & Kent,Tour,Disfruta de un día en la naturaleza,Ceuta,4,11000,8,{},
85480,Apple Leisure Group,Paseo,Relájate en la playa,Ceuta,2,53000,8,{},2025-08-19 00:00:00
85481,Hays Travel,Visita,,Ceuta,,30000,44,{},2025-08-20 00:00:00
85484,Klook,Tour,Descubre la gastronomía local,El Puerto de Santa María,3,97000,2,{},2025-05-05 00:00:00
